R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
1058,27870,7,0,0
1059,27869,7,0,0
1060,27868,6,0,0
1061,27867,6,0,0
1062,27673,7,0,0
1063,27866,6,0,0
1064,27672,7,0,0
1065,27671,7,0,0
1066,27670,6,0,0
1067,27669,6,0,0
1068,27668,6,0,0
1069,27667,6,0,0
1070,27473,5,0,0
1071,27666,6,0,0
1072,27472,5,0,0
1073,27471,5,0,0
1074,27470,5,0,0
1075,27469,6,0,0
1076,27468,6,0,0
1077,27467,6,0,0
1078,27466,7,0,0
1079,27272,4,0,0
1080,27465,7,0,0
1081,27271,5,0,0
1082,27270,5,0,0
1083,27269,5,0,0
1084,27268,5,0,0
1085,27267,5,0,0
1086,27266,5,0,0
1087,27072,5,0,0
1088,27265,5,0,0
1089,19007,6,0,0
1090,19199,5,0,0
1091,19390,5,0,0
1092,19581,6,0,0
1093,19772,6,0,0
1094,19963,6,0,0
1095,20154,7,0,0
1096,20153,7,0,0
1097,20344,7,0,0
1098,20343,7,0,0
1099,20534,6,0,0
1100,20533,6,0,0
1101,20724,8,0,0
1102,20723,8,0,0
1103,20722,8,0,0
1104,20721,8,0,0
1105,20912,8,0,0
1106,20911,8,0,0
1107,20910,8,0,0
1108,20909,8,0,0
1109,20908,8,0,0
1110,20907,8,0,0
1111,20713,9,0,0
1112,20906,9,0,0
1113,20712,9,0,0
1114,20711,9,0,0
1115,20710,9,0,0
1116,20516,6,0,0
1117,20709,9,0,0
1118,20515,6,0,0
1119,20514,6,0,0
1120,20513,6,0,0
1121,20512,6,0,0
1122,20318,7,0,0
1123,20511,6,0,0
1124,20317,7,0,0
1125,20316,7,0,0
1126,20315,7,0,0
1127,20314,7,0,0
1128,20313,7,0,0
1129,20312,7,0,0
1130,20311,7,0,0
1131,20310,7,0,0
1132,20309,7,0,0
1133,20308,7,0,0
1134,20307,7,0,0
1135,20306,7,0,0
1136,20305,7,0,0
1137,20304,7,0,0
1138,20303,7,0,0
1139,20302,7,0,0
1140,20494,8,0,0
1141,20685,5,0,0
1142,20877,6,0,0
1143,21068,5,0,0
1144,21259,6,0,0
1145,21450,6,0,0
1146,21641,6,0,0
1147,21832,8,0,0
1148,22023,8,0,0
1149,22214,6,0,0
1150,22405,8,0,0
1151,22596,8,0,0
1152,22787,6,0,0
1153,22978,8,0,0
1154,23169,8,0,0
1155,23360,6,0,0
1156,23551,8,0,0
1157,23742,8,0,0
1158,23933,6,0,0
1159,24124,8,0,0
1160,24315,8,0,0
1161,24506,6,0,0
1162,24697,8,0,0
1163,24888,8,0,0
1164,25079,6,0,0
1165,25270,9,0,0
1166,25461,9,0,0
1167,25652,7,0,0
1168,25843,10,0,0
1169,26034,10,0,0
1170,26225,7,0,0
1171,26416,10,0,0
1172,26607,8,0,0
1173,26798,7,0,0
1174,26989,7,0,0
1175,27181,5,0,0
1176,27372,5,0,0
1177,27564,8,0,0
1178,27756,8,0,0
1179,27947,5,0,0
1180,28139,7,0,0
1181,28331,7,0,0
1182,28522,7,0,0
1183,28714,8,0,0
1184,28906,8,0,0
1185,29097,8,0,0
1186,29289,9,0,0
1187,29481,9,0,0
1188,29672,6,0,0
1189,29863,8,0,0
1190,30054,8,0,0
1191,30245,6,0,0
1192,30436,7,0,0
1193,30627,7,0,0
1194,30818,6,0,0
1195,31009,7,0,0
1196,31200,7,0,0
1197,31391,6,0,0
1198,31390,6,0,0
1199,31581,7,0,0
1200,31772,7,0,0
1201,31771,6,0,0
1202,31962,6,0,0
1203,31961,6,0,0
1204,31960,6,0,0
1205,31959,6,0,0
1206,31958,6,0,0
1207,31957,6,0,0
1208,32148,8,0,0
1209,32147,8,0,0
1210,32146,7,0,0
1211,32145,7,0,0
1212,32144,7,0,0
1213,31950,5,0,0
1214,32143,7,0,0
1215,31949,5,0,0
1216,31948,5,0,0
1217,31754,8,0,0
1218,31947,5,0,0
1219,31753,7,0,0
1220,31559,7,0,0
1221,31752,7,0,0
1222,31558,5,0,0
1223,31557,5,0,0
1224,31363,5,0,0
1225,31556,5,0,0
1226,31362,5,0,0
1227,31361,5,0,0
1228,31167,5,0,0
